,,,,"Table 7: Crude and Age-Adjusted Child and Adolescent Asthma Emergency Department Visit Rates (per 10,000) by County, Texas, 2020"
County,Age-Adjusted Rate,,,
Anderson,34.0,,,
Andrews,35.8,,,
Angelina,17.3,,,
Aransas,--,,,
Archer,--,,,
Armstrong,--,,,
Atascosa,47.4,,,
Austin,18.4,,,
Bailey,--,,,
Bandera,44.4,,,
Bastrop,45.2,,,
Baylor,--,,,
Bee,60.1,,,
Bell,57.1,,,
Bexar,44.9,,,
Blanco,--,,,
Borden,--,,,
Bosque,--,,,
Bowie,50.6,,,
Brazoria,17.6,,,
Brazos,33.1,,,
Brewster,--,,,
Briscoe,--,,,
Brooks,--,,,
Brown,42.2,,,
Burleson,50.5,,,
Burnet,38.3,,,
Caldwell,49.7,,,
Calhoun,29.2,,,
Callahan,--,,,
Cameron,15.4,,,
Camp,--,,,
Carson,--,,,
Cass,55.5,,,
Castro,--,,,
Chambers,16.4,,,
Cherokee,42.3,,,
Childress,--,,,
Clay,--,,,
Cochran,--,,,
Coke,--,,,
Coleman,--,,,
Collin,17.3,,,
Collingsworth,--,,,
Colorado,37.2,,,
Comal,30.8,,,
Comanche,--,,,
Concho,--,,,
Cooke,31.9,,,
Coryell,32.0,,,
Cottle,--,,,
Crane,--,,,
Crockett,--,,,
Crosby,87.5,,,
Culberson,--,,,
Dallam,--,,,
Dallas,37.2,,,
Dawson,74.3,,,
Deaf Smith,25.7,,,
Delta,--,,,
Denton,24.5,,,
Dewitt,43.2,,,
Dickens,--,,,
Dimmit,59.9,,,
Donley,--,,,
Duval,--,,,
Eastland,58.4,,,
Ector,35.5,,,
Edwards,--,,,
El Paso,23.1,,,
Ellis,35.2,,,
Erath,35.0,,,
Falls,105.8,,,
Fannin,32.9,,,
Fayette,25.4,,,
Fisher,--,,,
Floyd,--,,,
Foard,--,,,
Fort Bend,18.2,,,
Franklin,--,,,
Freestone,38.3,,,
Frio,43.5,,,
Gaines,33.0,,,
Galveston,24.5,,,
Garza,--,,,
Gillespie,22.4,,,
Glasscock,--,,,
Goliad,--,,,
Gonzales,45.5,,,
Gray,52.4,,,
Grayson,35.5,,,
Gregg,38.0,,,
Grimes,61.4,,,
Guadalupe,23.3,,,
Hale,59.0,,,
Hall,--,,,
Hamilton,--,,,
Hansford,--,,,
Hardeman,--,,,
Hardin,18.4,,,
Harris,23.8,,,
Harrison,32.0,,,
Hartley,--,,,
Haskell,--,,,
Hays,24.8,,,
Hemphill,--,,,
Henderson,41.0,,,
Hidalgo,12.9,,,
Hill,44.3,,,
Hockley,34.9,,,
Hood,36.8,,,
Hopkins,39.8,,,
Houston,37.4,,,
Howard,65.4,,,
Hudspeth,--,,,
Hunt,29.8,,,
Hutchinson,31.7,,,
Irion,--,,,
Jack,--,,,
Jackson,29.0,,,
Jasper,38.9,,,
Jeff Davis,--,,,
Jefferson,28.1,,,
Jim Hogg,--,,,
Jim Wells,44.0,,,
Johnson,47.0,,,
Jones,37.5,,,
Karnes,47.6,,,
Kaufman,34.0,,,
Kendall,20.4,,,
Kenedy,--,,,
Kent,--,,,
Kerr,28.5,,,
Kimble,--,,,
King,--,,,
Kinney,--,,,
Kleberg,51.1,,,
Knox,--,,,
La Salle,--,,,
Lamar,39.2,,,
Lamb,50.5,,,
Lampasas,41.3,,,
Lavaca,41.1,,,
Lee,54.7,,,
Leon,27.6,,,
Liberty,26.1,,,
Limestone,63.7,,,
Lipscomb,--,,,
Live Oak,--,,,
Llano,38.9,,,
Loving,--,,,
Lubbock,73.0,,,
Lynn,71.4,,,
Madison,43.8,,,
Marion,--,,,
Martin,--,,,
Mason,--,,,
Matagorda,37.1,,,
Maverick,18.1,,,
Mcculloch,--,,,
Mclennan,49.4,,,
Mcmullen,--,,,
Medina,32.0,,,
Menard,--,,,
Midland,33.7,,,
Milam,39.6,,,
Mills,--,,,
Mitchell,139.7,,,
Montague,--,,,
Montgomery,23.1,,,
Moore,22.8,,,
Morris,--,,,
Motley,--,,,
Nacogdoches,23.1,,,
Navarro,38.7,,,
Newton,45.9,,,
Nolan,48.2,,,
Nueces,49.3,,,
Ochiltree,--,,,
Oldham,--,,,
Orange,18.9,,,
Palo Pinto,46.6,,,
Panola,54.5,,,
Parker,31.1,,,
Parmer,--,,,
Pecos,35.9,,,
Polk,23.8,,,
Potter,59.2,,,
Presidio,--,,,
Rains,--,,,
Randall,33.2,,,
Reagan,--,,,
Real,--,,,
Red River,--,,,
Reeves,32.7,,,
Refugio,--,,,
Roberts,--,,,
Robertson,65.3,,,
Rockwall,19.2,,,
Runnels,63.7,,,
Rusk,32.0,,,
Sabine,--,,,
San Augustine,--,,,
San Jacinto,--,,,
San Patricio,35.7,,,
San Saba,--,,,
Schleicher,--,,,
Scurry,52.2,,,
Shackelford,--,,,
Shelby,28.9,,,
Sherman,--,,,
Smith,30.5,,,
Somervell,--,,,
Starr,9.3,,,
Stephens,58.7,,,
Sterling,--,,,
Stonewall,--,,,
Sutton,--,,,
Swisher,--,,,
Tarrant,47.1,,,
Taylor,56.7,,,
Terrell,--,,,
Terry,56.2,,,
Throckmorton,--,,,
Titus,20.3,,,
Tom Green,39.6,,,
Travis,30.7,,,
Trinity,--,,,
Tyler,30.9,,,
Upshur,22.3,,,
Upton,--,,,
Uvalde,42.8,,,
Val Verde,27.1,,,
Van Zandt,31.5,,,
Victoria,28.9,,,
Walker,34.1,,,
Waller,17.5,,,
Ward,--,,,
Washington,27.9,,,
Webb,16.1,,,
Wharton,53.6,,,
Wheeler,--,,,
Wichita,38.4,,,
Wilbarger,105.8,,,
Willacy,28.3,,,
Williamson,24.7,,,
Wilson,31.2,,,
Winkler,--,,,
Wise,21.0,,,
Wood,21.2,,,
Yoakum,--,,,
Young,--,,,
Zapata,--,,,
Zavala,58.2,,,
Texas (Overall),31.6,,,
